Ref. Nr,Name of Flat,Address,Website Link:
001,Emerald Court ,"62, Emerald Court, St Henry Street, Sliema, SLM 1324",http://shortletsmalta.com/001-Emerald-Sliema-Penthouse.html
002,St Helen Ground,"16, Triq il- Freres, Sliema, SLM 1141",http://shortletsmalta.com/002_Comfy_Sliema_Maaisonette
003,St Helen 1bd ,"17, Triq il- Freres, Sliema, SLM 1141",http://shortletsmalta.com/003_Cosy_Sliema_1-bedroom_Apt
004,St Helen Penthouse,"17, Triq il- Freres, Sliema, SLM 1141",http://shortletsmalta.com/004_Spectacular_Views_1-bedroom_Pth
004b,St Helen Studio,"17, Triq il- Freres, Sliema, SLM 1141",http://shortletsmalta.com/004b_Sliema_Studio_Pth
005,St Helen 2 bd,"17, Triq il- Freres, Sliema, SLM 1141",http://shortletsmalta.com/005_Spacious_2-bedroom_Apt
006,Muriel Flt 1,"11, Muriel Flt 1, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/006_Central_Sliema_2-Bedroom_Apartment.html
007,Muriel Flt 2,"11, Muriel Flt 2, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/Remarkable_1-bedroom_Apartment.html
008,Muriel Flt 3,"11, Muriel Flt 3, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/Remarkable_1-bedroom_Apartment.html
009,Muriel Flt 4,"11, Muriel Flt 4, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/Sliema_Tigne_Area_2-bedroom_Apartment.html
010,Muriel Flt 5,"11, Muriel Flt 5, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/010_Preeminent_location_Sliema.html
011,Muriel Flt 6,"11, Muriel Flt 6, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/Remarkable_1-bedroom_Apartment.html
012,Muriel Flt 7,"11, Muriel Flt 7, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/010_Preeminent_location_Sliema.html
013,Muriel Flt 8,"11, Muriel Flt 8, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/Remarkable_1-bedroom_Apartment.html
014,Muriel Flt 9,"11, Muriel Flt 9, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/010_Preeminent_location_Sliema.html
015,Muriel Flt 10 ,"11, Muriel Flt 10, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/015_Effulgent_Sliema_1-bedroom_Pth
016,"Sapphire Court, Grd Floor","12, Sapphire Flat 1, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/016_Sunny_2-bedroom_Apt
017,"Sapphire Court, 2bd","12, Sapphire Flat 2, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/017_Sunny_Sliema_Flat-2
018,"Sapphire Court, 1bd","12, Sapphire Flat 3, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/018_Spacious_1-bedroom_Apt
021,Rudolph Place Flt 1,"57, Flt 1, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/021_Foremost_Location_1-bedroom_Apt
022,Rudolph Place Flt 2,"57, Flt 2, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/022_Mainstay_%20Sliema_%20Apartment%20.html
023,Rudolph Place Flt 3,"57, Flt 3, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/Mainstay_Roomy_1-bedroom_Apt
024,Rudolph Place Flt 4,"57, Flt 4, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/024_Mainstay_Sliema_Center_Apartment.html
025,Rudolph Place Flt 5,"57, Flt 5, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/Mainstay_Sliema_2-Bedroom_Apartment.html
026,Rudolph Place Flt 6,"57, Flt 6, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/024_Mainstay_Sliema_Center_Apartment.html
027,Rudolph Place Flt 7,"57, Flt 7, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/027_Foremost_Location_2-bedroom_Apt
028,Rudolph Place Flt 8,"57, Flt 8, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/Mainstay_Roomy_1-bedroom_Apt
029,Rudolph Place Flt 9,"57, Flt 9, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/024_Mainstay_Sliema_Center_Apartment.html
030,Rudolph Place Flt 10 ,"57, Flt 10, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/Sunny_Sliema_2-bedroom_Apt
031,Tigne 47,"47,Flt 5, Triq ix-Xatt ta' Tigne, Sliema, SLM 3011",http://shortletsmalta.com/031_Exceptional_Tigne_4-bd_Apt
